0,00100009      0
0,00100009      0,00013264
0,00100009      0,00026527
0,00100009      0,00039791
0,00100009      0,00053055
0,00100009      0,00066319
0,00100009      0,00079582
0,00100009      0,00092846
0,00100009      0,0010611
0,00100009      0,00119374
0,00100009      0,00132637
0,00100009      0,00159165
0,00100009      0,00185692
0,00100009      0,0021222
0,00100009      0,00238747
0,00100009      0,00265275
0,00100009      0,00291802
0,00100009      0,00318329
0,00100009      0,00344857
0,00100009      0,00397912
